,mark,model,year,type,condition,fuel,Transmission,color,price
123,Car Makes:Land Rover,Car Model:Discovery iii,Year:2008,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Diesel,Transmission:Auto,"$14,000"
124,Car Makes:Toyota,Car Model:Prius,Year:2008,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Gold,"$12,800"
125,Car Makes:Toyota,Car Model:Prius,Year:2008,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Gold,"$12,800"
126,Car Makes:Toyota,Car Model:RAV4,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:Other,Fuel:Petrol,Transmission:Auto,"$10,900"
127,Car Makes:Lexus,Car Model:RX330,Year:2004,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:White,"$25,800"
128,Car Makes:Toyota,Car Model:Tacoma,Year:2006,Tax Type:Plate Number,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:Silver,"$17,600"
129,Car Makes:Lexus,Car Model:RX300,Year:2000,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$11,200"
130,Car Makes:Toyota,Car Model:Prius,Year:2008,Tax Type:Tax Paper,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$14,300"
131,Car Makes:Hyundai,Car Model:Truck,Year:2007,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Diesel,Transmission:Auto,"$10,900"
132,Car Makes:Toyota,Car Model:Camry,Year:2000,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Fuel:Petrol,Transmission:Auto,"$6,800"
133,Car Makes:Kia,Car Model:Morning,Year:2012,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Petrol,Transmission:Auto,"$9,000"
134,Car Makes:Toyota,Car Model:Prius,Year:2011,Tax Type:Tax Paper,Condition:New,Body Type:Sedan,Fuel:Hybrid,Transmission:Auto,"$20,700"
135,Car Makes:Toyota,Car Model:Highlander,Year:2001,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$13,300"
136,Car Makes:Toyota,Car Model:Camry,Year:2007,Tax Type:Tax Paper,Condition:Used,Fuel:Petrol,Transmission:Auto,Color:White,"$18,900"
137,Car Makes:Toyota,Car Model:Prius,Year:2006,Tax Type:Plate Number,Condition:New,Body Type:Sedan,Transmission:Auto,Color:White,"$14,300"
138,Car Makes:Toyota,Car Model:Prius,Year:2006,Tax Type:Plate Number,Condition:New,Body Type:Sedan,Transmission:Auto,Color:White,"$14,300"
139,Car Makes:Toyota,Car Model:Prius,Year:2006,Tax Type:Plate Number,Condition:New,Body Type:Sedan,Transmission:Auto,Color:White,"$14,300"
140,Car Makes:Toyota,Car Model:Camry,Year:2007,Tax Type:Plate Number,Condition:Used,Body Type:Sedan,Transmission:Auto,Color:Gold,"$12,500"
141,Car Makes:Toyota,Car Model:Hilux REVO,Year:2022,Tax Type:Plate Number,Condition:Used,Body Type:Pickup,Fuel:Diesel,Transmission:Auto,"$47,433.00"
142,Car Makes:Hyundai,Car Model:Starex,Year:2016,Tax Type:Tax Paper,Condition:Used,Body Type:Other,Fuel:Diesel,Transmission:Auto,"$15,000"
143,Car Makes:Toyota,Car Model:Highlander,Year:2002,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Transmission:Auto,"$15,500"
144,Car Makes:Land Rover,Car Model:Range Rover Vogue,Year:2014,Tax Type:Plate Number,Condition:Used,Body Type:SUV,Fuel:Petrol,Color:Gray,"$56,000"
