Price,Size,Location,Type,Title,Property ID,Original ID,Listed,Updated
360000,800,Phnom Penh,Land for Sale,Hard Title,8953857,,08-May-23,
115000,186,Phnom Penh,Land for Sale,Soft Title,8780105,,08-May-23,
243100,1105,Kandal,Land for Sale,Soft Title,8042486,,08-May-23,
1893930,63131,Kampong Speu,Land for Sale,Hard Title,8986833,,08-May-23,
2992000,440,Phnom Penh,Land for Sale,Hard Title,9147886,,08-May-23,
18000,220,Kandal,Land for Sale,Soft Title,8979693,,08-May-23,
3700000,220,Phnom Penh,Land for Sale,Hard Title,8808265,,08-May-23,
5200000,602,Phnom Penh,Land for Sale,Soft Title,7666563,,08-May-23,
49500,198,Kandal,Land for Sale,Hard Title,8872399,,08-May-23,
3146400,828,Tboung Khmum,Land for Sale,Soft Title,7848022,,08-May-23,
15000,99255,Stung Treng,Land for Sale,Hard Title,7876988,,08-May-23,
957697,3203,Phnom Penh,Land for Sale,Soft Title,8555555,,08-May-23,
134340,4478,Kampong Speu,Land for Sale,Hard Title,8517358,,08-May-23,
29000,100,Phnom Penh,Land for Sale,Hard Title,8517365,,08-May-23,
60184,7523,Kampong Speu,Land for Sale,Soft Title,8517362,,08-May-23,
50000,305,Siem Reap,Land for Sale,Soft Title,9394415,,08-May-23,
1576,788,Kampong Speu,Land for Sale,Hard Title,8705172,,08-May-23,
6030,2010,Kandal,Land for Sale,Soft Title,8705124,,08-May-23,
91200,6080,Phnom Penh,Land for Sale,Soft Title,9135778,,08-May-23,
29000,67,Phnom Penh,Land for Sale,Soft Title,9150190,,08-May-23,
155000,50,Phnom Penh,Land for Sale,Hard Title,9252952,,08-May-23,
563200,704,Phnom Penh,Land for Sale,Soft Title,9084732,,08-May-23,
23000,500,Kampong Cham,Land for Sale,Hard Title,7690936,,08-May-23,
95000,1530,Kandal,Land for Sale,Soft Title,9303617,,08-May-23,
285505,9845,Kandal,Land for Sale,Soft Title,9232916,,08-May-23,
129000,360,Phnom Penh,Land for Sale,Soft Title,9394404,,08-May-23,
117565,3359,Kandal,Land for Sale,Soft Title,9303589,,08-May-23,
3291820,3359,Phnom Penh,Land for Sale,Hard Title,9056992,,08-May-23,
3375900,363,Kampong Speu,Land for Sale,Soft Title,9205079,,08-May-23,
3194400,363,Kampong Speu,Land for Sale,Soft Title,8991140,,08-May-23,
11357150,6139,Kampong Speu,Land for Sale,Soft Title,8975895,,08-May-23,
79999,2700,Kandal,Land for Sale,Soft Title,9267369,,08-May-23,
11600,140,Siem Reap,Land for Sale,Soft Title,9135157,,08-May-23,
1700000,200,Kampong Chhnang,Land for Sale,Soft Title,9391168,,08-May-23,
4479296,139978,Kampong Speu,Land for Sale,Hard Title,8668986,,08-May-23,
5586000,3990,Phnom Penh,Land for Sale,Hard Title,8991961,,08-May-23,
19999,34138,Phnom Penh,Land for Sale,Soft Title,8628924,,08-May-23,
3000000,500,Kampong Speu,Land for Sale,Soft Title,8538329,,08-May-23,
3307200,2067,Phnom Penh,Land for Sale,Hard Title,7612106,,08-May-23,
170000,4500,Kampot,Land for Sale,Soft Title,8606248,,08-May-23,
1200000,177,Phnom Penh,Land for Sale,Hard Title,8989633,,08-May-23,
420000,411,Phnom Penh,Land for Sale,Hard Title,9203382,,08-May-23,
27000,90,Phnom Penh,Land for Sale,Soft Title,8793235,,08-May-23,
13756000,1448,Phnom Penh,Land for Sale,Soft Title,8191553,,08-May-23,
724000,1448,Kandal,Land for Sale,Hard Title,8780582,,08-May-23,
500000,1448,Kandal,Land for Sale,Soft Title,8534457,,08-May-23,
26000,173,Siem Reap,Land for Sale,Hard Title,9100185,,08-May-23,
960000,600,Phnom Penh,Land for Sale,Hard Title,8196896,,08-May-23,
31000,2004,Phnom Penh,Land for Sale,Hard Title,8921686,,08-May-23,
65000,123,Phnom Penh,Land for Sale,Soft Title,8466589,,08-May-23,
109980,1833,Kandal,Land for Sale,Hard Title,8291090,,08-May-23,
528580,1391,Phnom Penh,Land for Sale,Hard Title,8639657,,08-May-23,
503880,884,Phnom Penh,Land for Sale,Hard Title,8639715,,08-May-23,
39000,884,Kampong Chhnang,Land for Sale,Soft Title,7647836,,08-May-23,
2146000,580,Phnom Penh,Land for Sale,Hard Title,8061569,,08-May-23,
4200000,1200,Phnom Penh,Land for Sale,Hard Title,8061611,,08-May-23,
95000,200,Preah Sihanouk,Land for Sale,Hard Title,8499904,,08-May-23,
230800,1154,Siem Reap,Land for Sale,Hard Title,8564943,,08-May-23,
750000,401,Phnom Penh,Land for Sale,Hard Title,8576078,,08-May-23,
35000,200,Phnom Penh,Land for Sale,Soft Title,8593531,,08-May-23,
780000,763,Phnom Penh,Land for Sale,Hard Title,9394322,,08-May-23,
435000,2327,Kandal,Land for Sale,Hard Title,8834435,,08-May-23,
2676050,2327,Phnom Penh,Land for Sale,Hard Title,9345581,,08-May-23,
225000,484,Phnom Penh,Land for Sale,Hard Title,8813740,,08-May-23,
350000,3235,Phnom Penh,Land for Sale,Soft Title,8410310,,08-May-23,
194000,150,Phnom Penh,Land for Sale,Hard Title,8764528,,08-May-23,
1220000,1876,Phnom Penh,Land for Sale,Hard Title,9282254,,08-May-23,
69900,504,Kandal,Land for Sale,Soft Title,9309041,,08-May-23,
702276,5444,Kandal,Land for Sale,Hard Title,9197763,,08-May-23,
3132000,522,Phnom Penh,Land for Sale,Hard Title,9392850,,08-May-23,
650000,50000,Banteay Meanchey,Land for Sale,Soft Title,8680890,,08-May-23,
82500,15,Oddar Meanchey,Land for Sale,Soft Title,9116983,,08-May-23,
25000,210,Siem Reap,Land for Sale,Hard Title,8641787,,08-May-23,
1290520,36872,Kampong Speu,Land for Sale,Hard Title,8950947,,08-May-23,
59000,300,Phnom Penh,Land for Sale,Soft Title,7672862,,08-May-23,
5586000,3990,Phnom Penh,Land for Sale,Hard Title,7708705,,08-May-23,
2000000,5000,Phnom Penh,Land for Sale,Hard Title,9348642,,08-May-23,
21000,220,Kandal,Land for Sale,Soft Title,8744497,,08-May-23,
36492,6082,Koh Kong,Land for Sale,Hard Title,7550080,,08-May-23,
498703,3347,Phnom Penh,Land for Sale,Hard Title,9370858,,08-May-23,
224631,2269,Phnom Penh,Land for Sale,Hard Title,9346067,,08-May-23,
662245,6971,Phnom Penh,Land for Sale,Hard Title,9226860,,08-May-23,
487809,7743,Kandal,Land for Sale,Soft Title,9388926,,08-May-23,
150000,139,Phnom Penh,Land for Sale,Soft Title,8910876,,08-May-23,
130000,2000,Kandal,Land for Sale,Soft Title,9388917,,08-May-23,
3938250,26255,Kandal,Land for Sale,Soft Title,9388914,,08-May-23,
800000,16000,Kandal,Land for Sale,Soft Title,9388900,,08-May-23,
4350000,2900,Kandal,Land for Sale,Soft Title,9388906,,08-May-23,
199900,337,Phnom Penh,Land for Sale,Soft Title,9388891,,08-May-23,
35000,4,Phnom Penh,Land for Sale,Soft Title,7705637,,08-May-23,
7440500,14881,Phnom Penh,Land for Sale,Hard Title,8061556,,08-May-23,
40000,1200,Phnom Penh,Land for Sale,Hard Title,8196787,,08-May-23,
1792560,2328,Siem Reap,Land for Sale,Soft Title,8879811,,08-May-23,
15000,300,Kampot,Land for Sale,Soft Title,8905299,,08-May-23,
1112023,25861,Phnom Penh,Land for Sale,Hard Title,8947074,,08-May-23,
127000,25861,Phnom Penh,Land for Sale,Soft Title,9109549,,08-May-23,
75000,25861,Phnom Penh,Land for Sale,Hard Title,9236446,,08-May-23,
999000,2019,Phnom Penh,Land for Sale,Hard Title,9394258,,08-May-23,
13500,100,Phnom Penh,Land for Sale,Soft Title,9377184,,08-May-23,
13500,100,Phnom Penh,Land for Sale,Soft Title,9377183,,08-May-23,
13500,100,Phnom Penh,Land for Sale,Soft Title,9377182,,08-May-23,
8208331.46,1170946,Kampot,Land for Sale,Soft Title,8982487,,08-May-23,
2300000,421,Phnom Penh,Land for Sale,Soft Title,8605730,,08-May-23,
1100000,603,Phnom Penh,Land for Sale,Hard Title,8799433,,08-May-23,
900000,603,Phnom Penh,Land for Sale,Hard Title,9206216,,08-May-23,
723600,603,Phnom Penh,Land for Sale,Hard Title,8173207,,08-May-23,
245000,812,Phnom Penh,Land for Sale,Hard Title,9103967,,08-May-23,
100000,4000,Kandal,Land for Sale,Soft Title,8206931,,08-May-23,
700000,745,Phnom Penh,Land for Sale,Hard Title,9318750,,08-May-23,
19900,2400,Preah Sihanouk,Land for Sale,Soft Title,9363550,,08-May-23,
265000,100,Kandal,Land for Sale,Soft Title,9373702,,08-May-23,
45000,400,Kandal,Land for Sale,Soft Title,9385403,,08-May-23,
700000,100,Preah Sihanouk,Land for Sale,Soft Title,9302457,,08-May-23,
100,100,Kampong Speu,Land for Sale,Soft Title,8470530,,08-May-23,
140000,100,Kampong Speu,Land for Sale,Soft Title,8382903,,08-May-23,
25000,120,Siem Reap,Land for Sale,Hard Title,9392336,,08-May-23,
186000,330,Phnom Penh,Land for Sale,Hard Title,8778207,,08-May-23,
1108000,3350,Phnom Penh,Land for Sale,Soft Title,7475042,,08-May-23,
1876000,536,Phnom Penh,Land for Sale,Hard Title,8068709,,08-May-23,
3850000,1540,Phnom Penh,Land for Sale,Soft Title,8517526,,08-May-23,
15000,200,Kampong Speu,Land for Sale,Soft Title,8671595,,08-May-23,
299900,605,Phnom Penh,Land for Sale,Hard Title,8161040,,08-May-23,
374400,156,Phnom Penh,Land for Sale,Hard Title,9182439,,08-May-23,
219000,621,Phnom Penh,Land for Sale,Hard Title,9125485,,08-May-23,
759000,253,Phnom Penh,Land for Sale,Hard Title,9261249,,08-May-23,
132000,1,Phnom Penh,Land for Sale,Soft Title,9148242,,08-May-23,
4188750,3351,Phnom Penh,Land for Sale,Hard Title,9129537,,08-May-23,
609125,2215,Phnom Penh,Land for Sale,Hard Title,9131697,,08-May-23,
1015200,1692,Phnom Penh,Land for Sale,Hard Title,9129557,,08-May-23,
195000,557,Phnom Penh,Land for Sale,Hard Title,8093593,,08-May-23,
98000,366,Phnom Penh,Land for Sale,Hard Title,9333321,,08-May-23,
